Loading PyTorch/Python3.11
  Loading requirement: Python/Python3.11 cuda/cuda-11.6
[Gen 451 | Timestep 0] Prompt Length: 7 | Generated Tokens: 8015 | Reward: -33849
Generation 451 SUMMARY: {"generation": 451, "population": [{"prompt_length": 7, "reward": -33849}, {"prompt_length": 7, "reward": -57711}, {"prompt_length": 7, "reward": -31149}, {"prompt_length": 7, "reward": -66237}, {"prompt_length": 7, "reward": -77571}, {"prompt_length": 7, "reward": -26715}, {"prompt_length": 7, "reward": -66891}, {"prompt_length": 7, "reward": -70125}, {"prompt_length": 7, "reward": -36969}, {"prompt_length": 7, "reward": -57801}, {"prompt_length": 7, "reward": -59589}, {"prompt_length": 7, "reward": -20799}, {"prompt_length": 7, "reward": -26523}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -68895}, {"prompt_length": 7, "reward": -61857}, {"prompt_length": 7, "reward": -60423}, {"prompt_length": 7, "reward": -76107}, {"prompt_length": 7, "reward": -71973}, {"prompt_length": 7, "reward": -76245}], "best_reward": 16374, "average_reward": -51552.95}
--- End of Generation 451 ---

[Gen 452 | Timestep 0] Prompt Length: 7 | Generated Tokens: 1152 | Reward: -75027
[Gen 452 | Timestep 1] Prompt Length: 7 | Generated Tokens: 4567 | Reward: -54537
[Gen 452 | Timestep 2] Prompt Length: 7 | Generated Tokens: 2080 | Reward: -69459
[Gen 452 | Timestep 3] Prompt Length: 7 | Generated Tokens: 3054 | Reward: -63615
[Gen 452 | Timestep 4] Prompt Length: 7 | Generated Tokens: 10781 | Reward: -17253
[Gen 452 | Timestep 5] Prompt Length: 7 | Generated Tokens: 4749 | Reward: -53445
[Gen 452 | Timestep 6] Prompt Length: 7 | Generated Tokens: 7152 | Reward: -39027
[Gen 452 | Timestep 7] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 452 | Timestep 8] Prompt Length: 7 | Generated Tokens: 3072 | Reward: -63507
[Gen 452 | Timestep 9] Prompt Length: 7 | Generated Tokens: 7224 | Reward: -38595
[Gen 452 | Timestep 10] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 452 | Timestep 11] Prompt Length: 7 | Generated Tokens: 2949 | Reward: -64245
[Gen 452 | Timestep 12] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 452 | Timestep 13] Prompt Length: 7 | Generated Tokens: 4388 | Reward: -55611
[Gen 452 | Timestep 14] Prompt Length: 7 | Generated Tokens: 7330 | Reward: -37959
[Gen 452 | Timestep 15] Prompt Length: 7 | Generated Tokens: 5084 | Reward: -51435
[Gen 452 | Timestep 16] Prompt Length: 7 | Generated Tokens: 11352 | Reward: -13827
[Gen 452 | Timestep 17] Prompt Length: 7 | Generated Tokens: 1291 | Reward: -74193
[Gen 452 | Timestep 18] Prompt Length: 7 | Generated Tokens: 1997 | Reward: -69957
[Gen 452 | Timestep 19] Prompt Length: 7 | Generated Tokens: 12723 | Reward: -5601
Generation 452 SUMMARY: {"generation": 452, "population": [{"prompt_length": 7, "reward": -75027}, {"prompt_length": 7, "reward": -54537}, {"prompt_length": 7, "reward": -69459}, {"prompt_length": 7, "reward": -63615}, {"prompt_length": 7, "reward": -17253}, {"prompt_length": 7, "reward": -53445}, {"prompt_length": 7, "reward": -39027}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -63507}, {"prompt_length": 7, "reward": -38595}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -64245}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -55611}, {"prompt_length": 7, "reward": -37959}, {"prompt_length": 7, "reward": -51435}, {"prompt_length": 7, "reward": -13827}, {"prompt_length": 7, "reward": -74193}, {"prompt_length": 7, "reward": -69957}, {"prompt_length": 7, "reward": -5601}], "best_reward": 16374, "average_reward": -39909.15}
--- End of Generation 452 ---

[Gen 453 | Timestep 0] Prompt Length: 7 | Generated Tokens: 3617 | Reward: -60237
[Gen 453 | Timestep 1] Prompt Length: 7 | Generated Tokens: 3415 | Reward: -61449
[Gen 453 | Timestep 2] Prompt Length: 7 | Generated Tokens: 2213 | Reward: -68661
[Gen 453 | Timestep 3] Prompt Length: 7 | Generated Tokens: 5289 | Reward: -50205
[Gen 453 | Timestep 4] Prompt Length: 7 | Generated Tokens: 1604 | Reward: -72315
[Gen 453 | Timestep 5] Prompt Length: 7 | Generated Tokens: 708 | Reward: -77691
[Gen 453 | Timestep 6] Prompt Length: 7 | Generated Tokens: 15833 | Reward: 13059
[Gen 453 | Timestep 7] Prompt Length: 7 | Generated Tokens: 7565 | Reward: -36549
[Gen 453 | Timestep 8] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 453 | Timestep 9] Prompt Length: 7 | Generated Tokens: 1330 | Reward: -73959
[Gen 453 | Timestep 10] Prompt Length: 7 | Generated Tokens: 3679 | Reward: -59865
[Gen 453 | Timestep 11] Prompt Length: 7 | Generated Tokens: 2751 | Reward: -65433
[Gen 453 | Timestep 12] Prompt Length: 7 | Generated Tokens: 3438 | Reward: -61311
[Gen 453 | Timestep 13] Prompt Length: 7 | Generated Tokens: 2661 | Reward: -65973
[Gen 453 | Timestep 14] Prompt Length: 7 | Generated Tokens: 3104 | Reward: -63315
[Gen 453 | Timestep 15] Prompt Length: 7 | Generated Tokens: 1581 | Reward: -72453
[Gen 453 | Timestep 16] Prompt Length: 7 | Generated Tokens: 7135 | Reward: -39129
[Gen 453 | Timestep 17] Prompt Length: 7 | Generated Tokens: 4117 | Reward: -57237
[Gen 453 | Timestep 18] Prompt Length: 7 | Generated Tokens: 4070 | Reward: -57519
[Gen 453 | Timestep 19] Prompt Length: 7 | Generated Tokens: 8513 | Reward: -30861
Generation 453 SUMMARY: {"generation": 453, "population": [{"prompt_length": 7, "reward": -60237}, {"prompt_length": 7, "reward": -61449}, {"prompt_length": 7, "reward": -68661}, {"prompt_length": 7, "reward": -50205}, {"prompt_length": 7, "reward": -72315}, {"prompt_length": 7, "reward": -77691}, {"prompt_length": 7, "reward": 13059}, {"prompt_length": 7, "reward": -36549}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -73959}, {"prompt_length": 7, "reward": -59865}, {"prompt_length": 7, "reward": -65433}, {"prompt_length": 7, "reward": -61311}, {"prompt_length": 7, "reward": -65973}, {"prompt_length": 7, "reward": -63315}, {"prompt_length": 7, "reward": -72453}, {"prompt_length": 7, "reward": -39129}, {"prompt_length": 7, "reward": -57237}, {"prompt_length": 7, "reward": -57519}, {"prompt_length": 7, "reward": -30861}], "best_reward": 16374, "average_reward": -52236.65}
--- End of Generation 453 ---

[Gen 454 | Timestep 0] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 454 | Timestep 1] Prompt Length: 7 | Generated Tokens: 1995 | Reward: -69969
[Gen 454 | Timestep 2] Prompt Length: 7 | Generated Tokens: 2285 | Reward: -68229
[Gen 454 | Timestep 3] Prompt Length: 7 | Generated Tokens: 1944 | Reward: -70275
[Gen 454 | Timestep 4] Prompt Length: 7 | Generated Tokens: 1363 | Reward: -73761
[Gen 454 | Timestep 5] Prompt Length: 7 | Generated Tokens: 2606 | Reward: -66303
[Gen 454 | Timestep 6] Prompt Length: 7 | Generated Tokens: 5689 | Reward: -47805
[Gen 454 | Timestep 7] Prompt Length: 7 | Generated Tokens: 7670 | Reward: -35919
[Gen 454 | Timestep 8] Prompt Length: 7 | Generated Tokens: 1363 | Reward: -73761
[Gen 454 | Timestep 9] Prompt Length: 7 | Generated Tokens: 1621 | Reward: -72213
[Gen 454 | Timestep 10] Prompt Length: 7 | Generated Tokens: 7553 | Reward: -36621
[Gen 454 | Timestep 11] Prompt Length: 7 | Generated Tokens: 517 | Reward: -78837
[Gen 454 | Timestep 12] Prompt Length: 7 | Generated Tokens: 10577 | Reward: -18477
[Gen 454 | Timestep 13] Prompt Length: 7 | Generated Tokens: 8850 | Reward: -28839
[Gen 454 | Timestep 14] Prompt Length: 7 | Generated Tokens: 1345 | Reward: -73869
[Gen 454 | Timestep 15] Prompt Length: 7 | Generated Tokens: 3036 | Reward: -63723
[Gen 454 | Timestep 16] Prompt Length: 7 | Generated Tokens: 5396 | Reward: -49563
[Gen 454 | Timestep 17] Prompt Length: 7 | Generated Tokens: 5397 | Reward: -49557
[Gen 454 | Timestep 18] Prompt Length: 7 | Generated Tokens: 3264 | Reward: -62355
[Gen 454 | Timestep 19] Prompt Length: 7 | Generated Tokens: 11374 | Reward: -13695
Generation 454 SUMMARY: {"generation": 454, "population": [{"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -69969}, {"prompt_length": 7, "reward": -68229}, {"prompt_length": 7, "reward": -70275}, {"prompt_length": 7, "reward": -73761}, {"prompt_length": 7, "reward": -66303}, {"prompt_length": 7, "reward": -47805}, {"prompt_length": 7, "reward": -35919}, {"prompt_length": 7, "reward": -73761}, {"prompt_length": 7, "reward": -72213}, {"prompt_length": 7, "reward": -36621}, {"prompt_length": 7, "reward": -78837}, {"prompt_length": 7, "reward": -18477}, {"prompt_length": 7, "reward": -28839}, {"prompt_length": 7, "reward": -73869}, {"prompt_length": 7, "reward": -63723}, {"prompt_length": 7, "reward": -49563}, {"prompt_length": 7, "reward": -49557}, {"prompt_length": 7, "reward": -62355}, {"prompt_length": 7, "reward": -13695}], "best_reward": 16374, "average_reward": -51870.05}
--- End of Generation 454 ---

[Gen 455 | Timestep 0] Prompt Length: 7 | Generated Tokens: 10521 | Reward: -18813
[Gen 455 | Timestep 1] Prompt Length: 7 | Generated Tokens: 6856 | Reward: -40803
[Gen 455 | Timestep 2] Prompt Length: 7 | Generated Tokens: 360 | Reward: -79779
[Gen 455 | Timestep 3] Prompt Length: 7 | Generated Tokens: 5481 | Reward: -49053
[Gen 455 | Timestep 4] Prompt Length: 7 | Generated Tokens: 9977 | Reward: -22077
[Gen 455 | Timestep 5] Prompt Length: 7 | Generated Tokens: 7439 | Reward: -37305
[Gen 455 | Timestep 6] Prompt Length: 7 | Generated Tokens: 8512 | Reward: -30867
[Gen 455 | Timestep 7] Prompt Length: 7 | Generated Tokens: 5950 | Reward: -46239
[Gen 455 | Timestep 8] Prompt Length: 7 | Generated Tokens: 393 | Reward: -79581
[Gen 455 | Timestep 9] Prompt Length: 7 | Generated Tokens: 5672 | Reward: -47907
[Gen 455 | Timestep 10] Prompt Length: 7 | Generated Tokens: 839 | Reward: -76905
[Gen 455 | Timestep 11] Prompt Length: 7 | Generated Tokens: 7012 | Reward: -39867
[Gen 455 | Timestep 12] Prompt Length: 7 | Generated Tokens: 9822 | Reward: -23007
[Gen 455 | Timestep 13] Prompt Length: 7 | Generated Tokens: 7429 | Reward: -37365
[Gen 455 | Timestep 14] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 455 | Timestep 15] Prompt Length: 7 | Generated Tokens: 677 | Reward: -77877
[Gen 455 | Timestep 16] Prompt Length: 7 | Generated Tokens: 3134 | Reward: -63135
[Gen 455 | Timestep 17] Prompt Length: 7 | Generated Tokens: 3143 | Reward: -63081
[Gen 455 | Timestep 18] Prompt Length: 7 | Generated Tokens: 873 | Reward: -76701
[Gen 455 | Timestep 19] Prompt Length: 7 | Generated Tokens: 2902 | Reward: -64527
Generation 455 SUMMARY: {"generation": 455, "population": [{"prompt_length": 7, "reward": -18813}, {"prompt_length": 7, "reward": -40803}, {"prompt_length": 7, "reward": -79779}, {"prompt_length": 7, "reward": -49053}, {"prompt_length": 7, "reward": -22077}, {"prompt_length": 7, "reward": -37305}, {"prompt_length": 7, "reward": -30867}, {"prompt_length": 7, "reward": -46239}, {"prompt_length": 7, "reward": -79581}, {"prompt_length": 7, "reward": -47907}, {"prompt_length": 7, "reward": -76905}, {"prompt_length": 7, "reward": -39867}, {"prompt_length": 7, "reward": -23007}, {"prompt_length": 7, "reward": -37365}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -77877}, {"prompt_length": 7, "reward": -63135}, {"prompt_length": 7, "reward": -63081}, {"prompt_length": 7, "reward": -76701}, {"prompt_length": 7, "reward": -64527}], "best_reward": 16374, "average_reward": -47925.95}
--- End of Generation 455 ---

[Gen 456 | Timestep 0] Prompt Length: 7 | Generated Tokens: 695 | Reward: -77769
[Gen 456 | Timestep 1] Prompt Length: 7 | Generated Tokens: 4824 | Reward: -52995
[Gen 456 | Timestep 2] Prompt Length: 7 | Generated Tokens: 5592 | Reward: -48387
[Gen 456 | Timestep 3] Prompt Length: 7 | Generated Tokens: 5330 | Reward: -49959
[Gen 456 | Timestep 4] Prompt Length: 7 | Generated Tokens: 7425 | Reward: -37389
[Gen 456 | Timestep 5] Prompt Length: 7 | Generated Tokens: 9676 | Reward: -23883
[Gen 456 | Timestep 6] Prompt Length: 7 | Generated Tokens: 15505 | Reward: 11091
[Gen 456 | Timestep 7] Prompt Length: 7 | Generated Tokens: 485 | Reward: -79029
[Gen 456 | Timestep 8] Prompt Length: 7 | Generated Tokens: 9484 | Reward: -25035
[Gen 456 | Timestep 9] Prompt Length: 7 | Generated Tokens: 4281 | Reward: -56253
[Gen 456 | Timestep 10] Prompt Length: 7 | Generated Tokens: 3414 | Reward: -61455
[Gen 456 | Timestep 11] Prompt Length: 7 | Generated Tokens: 5697 | Reward: -47757
[Gen 456 | Timestep 12] Prompt Length: 7 | Generated Tokens: 7602 | Reward: -36327
[Gen 456 | Timestep 13] Prompt Length: 7 | Generated Tokens: 3187 | Reward: -62817
[Gen 456 | Timestep 14] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 456 | Timestep 15] Prompt Length: 7 | Generated Tokens: 2940 | Reward: -64299
[Gen 456 | Timestep 16] Prompt Length: 7 | Generated Tokens: 7075 | Reward: -39489
[Gen 456 | Timestep 17] Prompt Length: 7 | Generated Tokens: 985 | Reward: -76029
[Gen 456 | Timestep 18] Prompt Length: 7 | Generated Tokens: 1625 | Reward: -72189
[Gen 456 | Timestep 19] Prompt Length: 7 | Generated Tokens: 12809 | Reward: -5085
Generation 456 SUMMARY: {"generation": 456, "population": [{"prompt_length": 7, "reward": -77769}, {"prompt_length": 7, "reward": -52995}, {"prompt_length": 7, "reward": -48387}, {"prompt_length": 7, "reward": -49959}, {"prompt_length": 7, "reward": -37389}, {"prompt_length": 7, "reward": -23883}, {"prompt_length": 7, "reward": 11091}, {"prompt_length": 7, "reward": -79029}, {"prompt_length": 7, "reward": -25035}, {"prompt_length": 7, "reward": -56253}, {"prompt_length": 7, "reward": -61455}, {"prompt_length": 7, "reward": -47757}, {"prompt_length": 7, "reward": -36327}, {"prompt_length": 7, "reward": -62817}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -64299}, {"prompt_length": 7, "reward": -39489}, {"prompt_length": 7, "reward": -76029}, {"prompt_length": 7, "reward": -72189}, {"prompt_length": 7, "reward": -5085}], "best_reward": 16374, "average_reward": -44434.25}
--- End of Generation 456 ---

[Gen 457 | Timestep 0] Prompt Length: 7 | Generated Tokens: 4704 | Reward: -53715
[Gen 457 | Timestep 1] Prompt Length: 7 | Generated Tokens: 2631 | Reward: -66153
[Gen 457 | Timestep 2] Prompt Length: 7 | Generated Tokens: 8188 | Reward: -32811
[Gen 457 | Timestep 3] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 457 | Timestep 4] Prompt Length: 7 | Generated Tokens: 1522 | Reward: -72807
[Gen 457 | Timestep 5] Prompt Length: 7 | Generated Tokens: 4715 | Reward: -53649
[Gen 457 | Timestep 6] Prompt Length: 7 | Generated Tokens: 3700 | Reward: -59739
[Gen 457 | Timestep 7] Prompt Length: 7 | Generated Tokens: 4632 | Reward: -54147
[Gen 457 | Timestep 8] Prompt Length: 7 | Generated Tokens: 7740 | Reward: -35499
[Gen 457 | Timestep 9] Prompt Length: 7 | Generated Tokens: 8352 | Reward: -31827
[Gen 457 | Timestep 10] Prompt Length: 7 | Generated Tokens: 212 | Reward: -80667
[Gen 457 | Timestep 11] Prompt Length: 7 | Generated Tokens: 4349 | Reward: -55845
[Gen 457 | Timestep 12] Prompt Length: 7 | Generated Tokens: 8316 | Reward: -32043
[Gen 457 | Timestep 13] Prompt Length: 7 | Generated Tokens: 11647 | Reward: -12057
[Gen 457 | Timestep 14] Prompt Length: 7 | Generated Tokens: 2455 | Reward: -67209
[Gen 457 | Timestep 15] Prompt Length: 7 | Generated Tokens: 3039 | Reward: -63705
[Gen 457 | Timestep 16] Prompt Length: 7 | Generated Tokens: 1686 | Reward: -71823
[Gen 457 | Timestep 17] Prompt Length: 7 | Generated Tokens: 1002 | Reward: -75927
[Gen 457 | Timestep 18] Prompt Length: 7 | Generated Tokens: 4967 | Reward: -52137
[Gen 457 | Timestep 19] Prompt Length: 7 | Generated Tokens: 2562 | Reward: -66567
Generation 457 SUMMARY: {"generation": 457, "population": [{"prompt_length": 7, "reward": -53715}, {"prompt_length": 7, "reward": -66153}, {"prompt_length": 7, "reward": -32811}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -72807}, {"prompt_length": 7, "reward": -53649}, {"prompt_length": 7, "reward": -59739}, {"prompt_length": 7, "reward": -54147}, {"prompt_length": 7, "reward": -35499}, {"prompt_length": 7, "reward": -31827}, {"prompt_length": 7, "reward": -80667}, {"prompt_length": 7, "reward": -55845}, {"prompt_length": 7, "reward": -32043}, {"prompt_length": 7, "reward": -12057}, {"prompt_length": 7, "reward": -67209}, {"prompt_length": 7, "reward": -63705}, {"prompt_length": 7, "reward": -71823}, {"prompt_length": 7, "reward": -75927}, {"prompt_length": 7, "reward": -52137}, {"prompt_length": 7, "reward": -66567}], "best_reward": 16374, "average_reward": -51097.85}
--- End of Generation 457 ---

[Gen 458 | Timestep 0] Prompt Length: 7 | Generated Tokens: 9359 | Reward: -25785
[Gen 458 | Timestep 1] Prompt Length: 7 | Generated Tokens: 7831 | Reward: -34953
[Gen 458 | Timestep 2] Prompt Length: 7 | Generated Tokens: 7119 | Reward: -39225
[Gen 458 | Timestep 3] Prompt Length: 7 | Generated Tokens: 5786 | Reward: -47223
[Gen 458 | Timestep 4] Prompt Length: 7 | Generated Tokens: 3448 | Reward: -61251
[Gen 458 | Timestep 5] Prompt Length: 7 | Generated Tokens: 840 | Reward: -76899
[Gen 458 | Timestep 6] Prompt Length: 7 | Generated Tokens: 1459 | Reward: -73185
[Gen 458 | Timestep 7] Prompt Length: 7 | Generated Tokens: 1114 | Reward: -75255
[Gen 458 | Timestep 8] Prompt Length: 7 | Generated Tokens: 11955 | Reward: -10209
[Gen 458 | Timestep 9] Prompt Length: 7 | Generated Tokens: 6481 | Reward: -43053
[Gen 458 | Timestep 10] Prompt Length: 7 | Generated Tokens: 470 | Reward: -79119
[Gen 458 | Timestep 11] Prompt Length: 7 | Generated Tokens: 6191 | Reward: -44793
[Gen 458 | Timestep 12] Prompt Length: 7 | Generated Tokens: 8356 | Reward: -31803
[Gen 458 | Timestep 13] Prompt Length: 7 | Generated Tokens: 7355 | Reward: -37809
[Gen 458 | Timestep 14] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 458 | Timestep 15] Prompt Length: 7 | Generated Tokens: 1033 | Reward: -75741
[Gen 458 | Timestep 16] Prompt Length: 7 | Generated Tokens: 4159 | Reward: -56985
[Gen 458 | Timestep 17] Prompt Length: 7 | Generated Tokens: 5749 | Reward: -47445
[Gen 458 | Timestep 18] Prompt Length: 7 | Generated Tokens: 3946 | Reward: -58263
[Gen 458 | Timestep 19] Prompt Length: 7 | Generated Tokens: 10786 | Reward: -17223
Generation 458 SUMMARY: {"generation": 458, "population": [{"prompt_length": 7, "reward": -25785}, {"prompt_length": 7, "reward": -34953}, {"prompt_length": 7, "reward": -39225}, {"prompt_length": 7, "reward": -47223}, {"prompt_length": 7, "reward": -61251}, {"prompt_length": 7, "reward": -76899}, {"prompt_length": 7, "reward": -73185}, {"prompt_length": 7, "reward": -75255}, {"prompt_length": 7, "reward": -10209}, {"prompt_length": 7, "reward": -43053}, {"prompt_length": 7, "reward": -79119}, {"prompt_length": 7, "reward": -44793}, {"prompt_length": 7, "reward": -31803}, {"prompt_length": 7, "reward": -37809}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -75741}, {"prompt_length": 7, "reward": -56985}, {"prompt_length": 7, "reward": -47445}, {"prompt_length": 7, "reward": -58263}, {"prompt_length": 7, "reward": -17223}], "best_reward": 16374, "average_reward": -45992.45}
--- End of Generation 458 ---

[Gen 459 | Timestep 0] Prompt Length: 7 | Generated Tokens: 4489 | Reward: -55005
[Gen 459 | Timestep 1] Prompt Length: 7 | Generated Tokens: 1025 | Reward: -75789
[Gen 459 | Timestep 2] Prompt Length: 7 | Generated Tokens: 2364 | Reward: -67755
[Gen 459 | Timestep 3] Prompt Length: 7 | Generated Tokens: 15780 | Reward: 12741
[Gen 459 | Timestep 4] Prompt Length: 7 | Generated Tokens: 993 | Reward: -75981
[Gen 459 | Timestep 5] Prompt Length: 7 | Generated Tokens: 5209 | Reward: -50685
[Gen 459 | Timestep 6] Prompt Length: 7 | Generated Tokens: 3771 | Reward: -59313
[Gen 459 | Timestep 7] Prompt Length: 7 | Generated Tokens: 1654 | Reward: -72015
[Gen 459 | Timestep 8] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 459 | Timestep 9] Prompt Length: 7 | Generated Tokens: 1285 | Reward: -74229
[Gen 459 | Timestep 10] Prompt Length: 7 | Generated Tokens: 3448 | Reward: -61251
[Gen 459 | Timestep 11] Prompt Length: 7 | Generated Tokens: 14286 | Reward: 3777
[Gen 459 | Timestep 12] Prompt Length: 7 | Generated Tokens: 9027 | Reward: -27777
[Gen 459 | Timestep 13] Prompt Length: 7 | Generated Tokens: 7758 | Reward: -35391
[Gen 459 | Timestep 14] Prompt Length: 7 | Generated Tokens: 1351 | Reward: -73833
[Gen 459 | Timestep 15] Prompt Length: 7 | Generated Tokens: 3988 | Reward: -58011
[Gen 459 | Timestep 16] Prompt Length: 7 | Generated Tokens: 2519 | Reward: -66825
[Gen 459 | Timestep 17] Prompt Length: 7 | Generated Tokens: 4407 | Reward: -55497
[Gen 459 | Timestep 18] Prompt Length: 7 | Generated Tokens: 142 | Reward: -81087
[Gen 459 | Timestep 19] Prompt Length: 7 | Generated Tokens: 8712 | Reward: -29667
Generation 459 SUMMARY: {"generation": 459, "population": [{"prompt_length": 7, "reward": -55005}, {"prompt_length": 7, "reward": -75789}, {"prompt_length": 7, "reward": -67755}, {"prompt_length": 7, "reward": 12741}, {"prompt_length": 7, "reward": -75981}, {"prompt_length": 7, "reward": -50685}, {"prompt_length": 7, "reward": -59313}, {"prompt_length": 7, "reward": -72015}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": -74229}, {"prompt_length": 7, "reward": -61251}, {"prompt_length": 7, "reward": 3777}, {"prompt_length": 7, "reward": -27777}, {"prompt_length": 7, "reward": -35391}, {"prompt_length": 7, "reward": -73833}, {"prompt_length": 7, "reward": -58011}, {"prompt_length": 7, "reward": -66825}, {"prompt_length": 7, "reward": -55497}, {"prompt_length": 7, "reward": -81087}, {"prompt_length": 7, "reward": -29667}], "best_reward": 16374, "average_reward": -49361.15}
--- End of Generation 459 ---

[Gen 460 | Timestep 0] Prompt Length: 7 | Generated Tokens: 12177 | Reward: -8877
[Gen 460 | Timestep 1] Prompt Length: 7 | Generated Tokens: 2188 | Reward: -68811
[Gen 460 | Timestep 2] Prompt Length: 7 | Generated Tokens: 7320 | Reward: -38019
[Gen 460 | Timestep 3] Prompt Length: 7 | Generated Tokens: 3105 | Reward: -63309
[Gen 460 | Timestep 4] Prompt Length: 7 | Generated Tokens: 8896 | Reward: -28563
[Gen 460 | Timestep 5] Prompt Length: 7 | Generated Tokens: 2132 | Reward: -69147
[Gen 460 | Timestep 6] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 460 | Timestep 7] Prompt Length: 7 | Generated Tokens: 5557 | Reward: -48597
[Gen 460 | Timestep 8] Prompt Length: 7 | Generated Tokens: 9906 | Reward: -22503
[Gen 460 | Timestep 9] Prompt Length: 7 | Generated Tokens: 15816 | Reward: 12957
[Gen 460 | Timestep 10] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 460 | Timestep 11] Prompt Length: 7 | Generated Tokens: 1762 | Reward: -71367
[Gen 460 | Timestep 12] Prompt Length: 7 | Generated Tokens: 7036 | Reward: -39723
[Gen 460 | Timestep 13] Prompt Length: 7 | Generated Tokens: 4642 | Reward: -54087
[Gen 460 | Timestep 14] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 460 | Timestep 15] Prompt Length: 7 | Generated Tokens: 8009 | Reward: -33885
[Gen 460 | Timestep 16] Prompt Length: 7 | Generated Tokens: 501 | Reward: -78933
[Gen 460 | Timestep 17] Prompt Length: 7 | Generated Tokens: 400 | Reward: -79539
[Gen 460 | Timestep 18] Prompt Length: 7 | Generated Tokens: 306 | Reward: -80103
[Gen 460 | Timestep 19] Prompt Length: 7 | Generated Tokens: 574 | Reward: -78495
